id,neo_list_id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity,miss_distance_km,miss_distance_miles,orbiting_body
54458498,54458498,(2024 NQ1),23.34,57.0893340024,127.6556316195,False,2024-06-28,14.1042703094,8785380.211377438,5458982.126985098,Earth
54483853,54483853,(2024 SS3),24.03,41.5484643414,92.9051906281,False,2024-06-28,5.5626449982,35664013.38241186,22160590.315603293,Earth
2437844,2437844,437844 (1999 MN),21.19,153.6579294004,343.5895754212,True,2024-06-30,30.2705213054,64395604.5320744,40013573.20218682,Earth
3553062,3553062,(2010 XA11),26.1,16.0160337979,35.8129403019,False,2024-06-30,15.7836160159,64569277.68096647,40121488.69280057,Earth
3607411,3607411,(2012 PG6),20.25,236.8944993559,529.7122040557,False,2024-06-30,30.4683121152,62330398.1127558,38730313.43876817,Earth
3662200,3662200,(2014 DH),26.6,12.7219878539,28.4472296503,False,2024-06-30,8.6936098534,10942265.306719407,6799208.378113536,Earth
3763271,3763271,(2016 VS),27.4,8.801465209,19.6806745089,False,2024-06-30,6.292975997,32803436.82610899,20383110.466352515,Earth
3776017,3776017,(2017 MB3),25.36,22.5193046679,50.3546960434,False,2024-06-30,6.4627356821,1920223.494010231,1193171.5510779477,Earth
3794987,3794987,(2017 YD2),28.7,4.8367648822,10.8153350678,False,2024-06-30,12.2525197255,58319063.29370543,36237785.562263705,Earth
3836179,3836179,(2018 VB7),25.1,25.3837029364,56.7596852866,False,2024-06-30,13.8357115202,63295287.484656274,39329867.89275768,Earth
54005703,54005703,(2020 DA4),25.59,20.2560600865,45.2939273097,False,2024-06-30,19.7254682357,54241398.48451278,33704042.14107503,Earth
54016642,54016642,(2020 HX2),22.11,100.5900390178,224.9261651032,False,2024-06-30,7.6693145282,40935808.99080642,25436332.208489716,Earth
54087438,54087438,(2020 VW),28.36,5.6565935842,12.6485277754,False,2024-06-30,16.9146996637,69182625.99876592,42988090.41139316,Earth
